# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
5,River,0,-200,200,CHECK,0,"['9h', '8s']","['5s', '6d']","['5h', '8d', '4d', '6h', '2h']",,3h,100,100
6,Pre-Flop,0,-300,300,RAISE,98,"['5s', 'As']","['9d', '2h']","['9h', '2s']",,,1,1
6,Pre-Flop,1,-300,300,DISCARD,0,"['5s', 'As']","['9d', '2h']","['9h', '2s']",,,2,2
6,Pre-Flop,1,-300,300,FOLD,0,"['5s', 'As']","['7s', '2h']","['9h', '2s']",,9d,2,2
7,Pre-Flop,1,-298,298,CALL,0,"['3s', '7s']","['5d', 'Ah']","['8s', '9s']",,,1,1
7,Pre-Flop,0,-298,298,RAISE,98,"['3s', '7s']","['5d', 'Ah']","['8s', '9s']",,,2,2
7,Pre-Flop,1,-298,298,CALL,0,"['3s', '7s']","['5d', 'Ah']","['8s', '9s']",,,2,2
7,Flop,1,-298,298,CHECK,0,"['3s', '7s']","['5d', 'Ah']","['8s', '9s', '5s']",,,100,100
7,Flop,0,-298,298,CHECK,0,"['3s', '7s']","['5d', 'Ah']","['8s', '9s', '5s']",,,100,100
7,Turn,1,-298,298,CHECK,0,"['3s', '7s']","['5d', 'Ah']","['8s', '9s', '5s', '2d']",,,100,100
7,Turn,0,-298,298,CHECK,0,"['3s', '7s']","['5d', 'Ah']","['8s', '9s', '5s', '2d']",,,100,100
7,River,1,-298,298,CHECK,0,"['3s', '7s']","['5d', 'Ah']","['8s', '9s', '5s', '2d', '3d']",,,100,100
7,River,0,-298,298,CHECK,0,"['3s', '7s']","['5d', 'Ah']","['8s', '9s', '5s', '2d', '3d']",,,100,100
8,Pre-Flop,0,-198,198,RAISE,98,"['5s', '7d']","['4s', '5h']","['8h', '8d']",,,1,1
8,Pre-Flop,1,-198,198,DISCARD,0,"['5s', '7d']","['4s', '5h']","['8h', '8d']",,,2,2
8,Pre-Flop,1,-198,198,FOLD,0,"['5s', '7d']","['4s', '9s']","['8h', '8d']",,5h,2,2
9,Pre-Flop,1,-196,196,CALL,0,"['4h', '8d']","['7h', 'Ah']","['3d', '6d']",,,1,1
9,Pre-Flop,0,-196,196,RAISE,98,"['4h', '8d']","['7h', 'Ah']","['3d', '6d']",,,2,2
9,Pre-Flop,1,-196,196,CALL,0,"['4h', '8d']","['7h', 'Ah']","['3d', '6d']",,,2,2
9,Flop,1,-196,196,CHECK,0,"['4h', '8d']","['7h', 'Ah']","['3d', '6d', '3h']",,,100,100
9,Flop,0,-196,196,CHECK,0,"['4h', '8d']","['7h', 'Ah']","['3d', '6d', '3h']",,,100,100
9,Turn,1,-196,196,CHECK,0,"['4h', '8d']","['7h', 'Ah']","['3d', '6d', '3h', '9d']",,,100,100
9,Turn,0,-196,196,CHECK,0,"['4h', '8d']","['7h', 'Ah']","['3d', '6d', '3h', '9d']",,,100,100
9,River,1,-196,196,CHECK,0,"['4h', '8d']","['7h', 'Ah']","['3d', '6d', '3h', '9d', '4d']",,,100,100
9,River,0,-196,196,CHECK,0,"['4h', '8d']","['7h', 'Ah']","['3d', '6d', '3h', '9d', '4d']",,,100,100
10,Pre-Flop,0,-96,96,RAISE,98,"['7s', '9h']","['3s', '6d']","['4h', '7d']",,,1,1
10,Pre-Flop,1,-96,96,DISCARD,0,"['7s', '9h']","['3s', '6d']","['4h', '7d']",,,2,2
10,Pre-Flop,1,-96,96,FOLD,0,"['7s', '9h']","['3s', '9d']","['4h', '7d']",,6d,2,2
11,Pre-Flop,1,-94,94,CALL,0,"['8s', '7h']","['As', '6h']","['2s', '5h']",,,1,1
11,Pre-Flop,0,-94,94,RAISE,98,"['8s', '7h']","['As', '6h']","['2s', '5h']",,,2,2
11,Pre-Flop,1,-94,94,DISCARD,0,"['8s', '7h']","['As', '6h']","['2s', '5h']",,,2,2
